Mixture,state,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
TCGA-FV-A23B-11A,normal,0.045261089,0,0.041956705,0.190803021,0,0.244012029,0.008738221,0.001486589,0.028929192,0.010199657,0,0.027246695,0.060695368,0.073543767,0.027564073,0.22307395,0,0,0,0.010390227,0,0.006099417
TCGA-FV-A2QR-01A,cancer,0.08027842,0,0.017832131,0.120220834,0,0.060659331,0,0.030286022,0.086316878,0,0,0.042429411,0.001824898,0.35430215,0.073811833,0.063491581,0.003628197,0,0.029910191,0,0,0.035008122
TCGA-FV-A2QR-11A,normal,0.07868236,0,0.022234123,0.183726161,0,0.08704856,0,0,0.032662717,0.056194626,0,0.057758426,0.019148211,0.17746808,0.040424236,0.192594676,0,0,0,0.049380708,0,0.002677117
TCGA-FV-A3I0-01A,cancer,0,0.002258694,0.118789251,0.052372187,0,0.157081393,0,0.014065637,0.076338203,0,0,0.067868181,0.149746755,0.104750646,0.021000481,0.145158572,0,0.041894454,0.036775459,0,0,0.011900087
TCGA-FV-A3I0-11A,normal,0.012378232,0,0,0.068354511,0,0.125943568,0,0,0.029967071,0,0.007623839,0.07031695,0.159613904,0.263796488,0.088964505,0.070476827,0,0,0.001439144,0.002630349,0,0.09849461
TCGA-FV-A3I1-01A,cancer,0.046955427,0,0.023000297,0.041993236,0,0.143805427,0.007216874,0.027646394,0.16044362,0,0,0.009492371,0.009937901,0.320100349,0.060021395,0.11084462,0.033602673,0,0.004939415,0,0,0
TCGA-FV-A3I1-11A,normal,0.051365002,0,0.027137212,0.043457356,0,0.151683278,0,0,0.056063294,0.016503837,0.046203322,0.003314969,0.020244979,0.060415401,0.089293601,0.422595248,0,0,0.00448398,0,0,0.007238522
TCGA-FV-A3R2-01A,cancer,0.033452706,0,0.002052586,0.253203245,0,0.079758178,0,0,0.092822654,0,0.110149195,0,0.017572287,0.217523001,0.024933844,0.107871864,0.017474725,0,0,0.009549657,0,0.033636058
TCGA-FV-A3R2-11A,normal,0.026509255,0,0.014925797,0.225791129,0,0.084075486,0,0,0.031446039,0.026216752,0,0.040110529,0.058374423,0.094397745,0.050426972,0.308304182,0,0,0,0.03765208,0,0.001769609
TCGA-G3-A3CH-01A,cancer,0.104125551,0,0.005579466,0.123980244,0,0.329792627,0,0,0.067071735,0.016807158,0,0.045708922,0.000107956,0.026548043,0.10387297,0.126030936,0.009158999,0,0.041215391,0,0,0
TCGA-G3-A3CH-11A,normal,0.05590675,0,0.046702105,0.223408607,0,0.215602492,0,0,0.041254439,0.022875068,0.03267967,0,0.018832524,0.041649256,0.066341305,0.223684861,0,0,0.005457494,0,0,0.005605429
